price,area,Bedrooms,Bathrooms,Balcony,Status,Furnished_status,Price_sqft
6700000,1277,2,2,3,1,1,5246
11000000,1500,3,3,2,1,1,7333
6000000,950,2,2,1,1,0,6315
18000000,2200,3,2,4,1,0,8181
8000000,2000,3,3,2,1,0,4000
7500000,1408,2,2,2,1,1,5326
4100000,1035,2,2,1,1,1,3961
4490000,1135,2,2,4,1,1,3955
11000000,1954,3,3,4,1,1,5629
7000000,1355,3,2,3,1,0,5166
8000000,1290,2,2,3,1,1,6201
4000000,1200,2,2,2,1,1,3333
6500000,1100,2,2,2,1,1,5909
5000000,1285,3,2,3,1,1,3891
6300000,1444,3,2,3,1,1,4362
6500000,1875,3,3,2,1,1,3466
14500000,1500,3,2,2,1,1,9666
9800000,1730,3,3,3,1,1,5664
7500000,1690,3,3,3,1,1,4437
9000000,2250,4,4,4,1,1,4000
7930000,1385,3,3,2,1,1,5725
12800000,2025,3,3,2,1,1,6320
6000000,775,3,2,1,1,0,7741
14500000,1400,3,2,2,1,1,10357
8200000,1360,2,2,2,1,1,6029
14000000,2050,4,3,1,1,1,6829
4900000,700,2,2,1,1,0,7000
4400000,1150,3,2,2,1,0,3826
14500000,2860,4,4,2,1,0,5069
3000000,899,2,2,2,1,0,3337
3900000,976,2,2,2,1,1,3995
11500000,1647,3,3,3,1,1,6982
5800000,700,2,2,2,1,0,8285
16000000,2200,3,2,2,1,1,7272
10000000,994,2,2,2,1,0,10060
8000000,1710,3,3,3,1,1,4678
14000000,1400,3,3,2,1,1,10000
8000000,1300,3,2,1,1,1,6153
5910000,1500,3,3,2,1,0,3940
3500000,1240,2,2,2,1,1,2822
11200000,1870,3,4,3,1,1,5989
8600000,1137,3,2,2,1,1,7563
13600000,1400,2,2,2,1,1,9714
22000000,1800,3,3,2,1,1,12222
11000000,2200,3,4,3,1,1,5000
8000000,1847,4,3,3,1,1,4331
9500000,1758,3,3,3,1,1,5403
5550000,1081,3,3,2,1,0,5134
2800000,720,2,2,1,1,1,3888
5500000,1100,3,2,2,1,1,5000
14400000,2500,6,4,1,1,0,5760
5500000,1575,3,3,3,1,1,3492
8000000,1365,3,2,2,1,1,5860
17600000,2511,4,3,2,1,1,7009
3500000,810,3,2,1,1,0,4320
5660000,1300,3,3,3,1,1,4353
12000000,1550,2,2,2,1,1,7741
35500000,4600,6,3,3,1,1,7717
3770000,1055,2,2,2,0,1,3573
9860000,1730,3,3,2,1,1,5699
19200000,2630,4,4,2,1,1,7300
8020000,1515,3,3,5,1,1,5293
6870000,1404,3,3,2,0,1,4893
8900000,1895,3,3,2,0,1,4696
16000000,2200,4,4,2,1,0,7272
38500000,4486,4,4,4,1,0,8582
8500000,1080,2,2,2,1,1,7870
15900000,2190,3,3,2,1,0,7260
37500000,5840,5,5,4,1,0,6421
8230000,1725,3,3,2,1,1,4771
3650000,770,2,2,2,1,0,4740
33900000,3775,5,4,2,1,1,8980
22800000,2750,3,5,2,0,1,8290
35000000,4455,4,5,2,0,1,7856
31500000,4200,4,5,2,1,0,7500
20000000,2685,3,3,2,1,1,7448
12900000,2003,3,3,2,1,1,6440
8690000,1725,4,3,2,1,1,5037
5500000,1250,4,3,2,1,0,4400
3300000,855,2,2,2,1,1,3859
35000000,3600,4,4,2,1,1,9722
4400000,1475,3,3,2,1,1,2983
11500000,1700,4,4,4,1,1,6764
7000000,1300,3,2,2,1,0,5384
15500000,2000,3,2,1,1,1,7750
7500000,1365,2,2,2,1,0,5494
7200000,1295,2,2,4,1,1,5559
16500000,2103,3,4,5,1,1,7845
7000000,1200,3,2,2,1,1,5833
7800000,1350,2,2,1,1,1,5777
3310000,950,2,2,2,1,1,3484
17000000,2700,3,3,2,1,0,6296
3000000,582,2,2,2,1,1,5154
3700000,1060,2,2,2,1,0,3490
10500000,1850,3,3,4,1,1,5675
2500000,800,2,2,2,1,0,3125
6500000,1450,3,2,1,1,1,4482
10000000,1400,3,2,2,1,0,7142
4250000,950,2,2,1,1,0,4473
6500000,1650,3,2,3,1,1,3939
2100000,700,2,2,2,1,0,3000
3300000,950,2,2,1,1,0,3473
3800000,1200,2,2,2,1,1,3166
3500000,900,2,2,1,1,1,3888
38500000,4300,5,5,10,1,1,8953
4700000,850,2,2,2,1,1,5529
4100000,760,2,2,2,1,1,5394
3800000,630,2,2,2,1,0,6031
4400000,1000,3,3,2,1,1,4400
3300000,1050,2,2,2,1,1,3142
7200000,1495,3,3,2,1,1,4816
3300000,1058,2,2,3,1,0,3119
4200000,1175,2,2,2,1,0,3574
13000000,2200,4,4,2,1,1,5909
6500000,1100,3,2,2,1,1,5909
5500000,973,2,2,2,1,1,5652
4500000,1550,3,3,2,1,1,2903
10000000,1779,3,3,4,1,1,5621
5910000,1210,2,2,2,1,1,4884
13000000,1850,3,3,2,1,0,7027
7500000,1300,3,3,1,1,1,5769
4450000,990,2,2,1,1,1,4494
4900000,950,2,2,2,1,1,5157
19500000,1600,3,3,2,1,1,12187
12000000,2000,3,3,5,1,1,6000
2700000,850,2,2,1,1,1,3176
16000000,1700,3,3,2,1,1,9411
9800000,1850,4,3,2,1,1,5297
3600000,900,2,2,2,1,1,4000
6200000,1390,3,3,3,1,1,4460
2700000,805,2,2,2,1,0,3354
8000000,1705,3,2,2,1,1,4692
3220000,920,2,2,2,1,0,3500
3900000,1125,2,2,3,1,1,3466
4500000,1105,2,2,3,1,1,4072
4800000,1267,3,2,2,1,1,3788
3200000,690,2,2,2,1,1,4637
2700000,890,2,2,2,1,1,3033
25000000,2250,3,4,3,1,1,11111
4200000,1270,2,2,2,1,1,3307
2630000,792,2,2,2,1,1,3320
9960000,1610,2,2,2,1,1,6186
4500000,1000,2,2,1,1,1,4500
6000000,1575,3,2,2,1,0,3809
12000000,1640,3,3,3,1,1,7317
19500000,1600,3,2,1,1,1,12187
7200000,1260,3,2,2,1,1,5714
7500000,1140,2,2,2,1,0,6578
8500000,1800,3,3,4,1,1,4722
4300000,1150,2,2,1,1,0,3739
13500000,1800,5,4,3,1,1,7500
13500000,1450,4,2,2,1,0,9310
6000000,1170,2,3,2,1,0,5128
2590000,880,2,2,1,1,1,2943
9500000,1644,3,3,3,1,1,5778
15000000,1350,3,3,1,1,1,11111
4000000,700,2,2,1,1,1,5714
6010000,1125,2,2,2,1,0,5342
5000000,1225,2,2,4,1,1,4081
6950000,1080,4,2,2,1,1,6435
4500000,800,3,2,2,1,0,5625
14500000,2630,4,4,2,1,1,5513
5400000,1300,3,2,3,1,0,4153
13500000,2268,4,4,3,1,1,5952
6500000,1257,2,2,4,1,1,5171
7100000,1690,3,3,2,1,1,4201
8000000,1740,3,3,2,1,1,4597
11000000,1640,3,3,2,1,1,6707
